,entity_lang,entity_txt,entity_ids,sitelinks
364,ar,275 ق.م,['Q46137'],[78]
365,ar,275 ق.م.,['Q46137'],[78]
366,ar,275 قبل الميلاد,['Q46137'],[78]
367,ar,276,['Q32797'],[120]
368,ar,28 أكتوبر,['Q2952'],[212]
369,ar,28 اكتوبر,['Q2952'],[212]
370,ar,28 تشرين الأول,['Q2952'],[212]
371,ar,28 سبتمبر,['Q2883'],[207]
372,ar,28 فبراير,['Q2362'],[219]
373,ar,283,['Q32054'],[123]
374,ar,285,['Q33744'],[120]
375,ar,28978 إكسيون,['Q15591'],[43]
376,ar,29 تشرين الثاني,['Q3016'],[212]
377,ar,29 نوفمبر,['Q3016'],[212]
378,ar,29 نونبر,['Q3016'],[212]
379,ar,292,['Q32132'],[118]
380,ar,295,['Q31925'],[119]
381,ar,298,['Q33568'],[120]
382,ar,3 أيلول,['Q2860'],[208]
383,ar,3 سبتمبر,['Q2860'],[208]
384,ar,30 ديسمبر,['Q2901'],[206]
385,ar,30 كانون الأول,['Q2901'],[206]
386,ar,300 (ق م.),['Q47353'],[79]
387,ar,300 (ق. م),['Q47353'],[79]
388,ar,300 (ق. م.),['Q47353'],[79]
389,ar,300 (ق.م),['Q47353'],[79]
390,ar,300 (ق.م.),['Q47353'],[79]
391,ar,300 (قبل الميلاد),['Q47353'],[79]
392,ar,300 ق م,['Q47353'],[79]
393,ar,300 ق م.,['Q47353'],[79]
394,ar,300 ق. م,['Q47353'],[79]
395,ar,300 ق. م.,['Q47353'],[79]
396,ar,300 ق.م,['Q47353'],[79]
397,ar,300 ق.م.,['Q47353'],[79]
398,ar,300 قبل الميلاد,['Q47353'],[79]
399,ar,304,['Q32149'],[123]
400,ar,31 يوليو,['Q2715'],[208]
401,ar,321,['Q33359'],[121]
402,ar,323,['Q32836'],[119]
403,ar,326,['Q34056'],[118]
404,ar,332,['Q31568'],[118]
405,ar,336,['Q32101'],[120]
406,ar,338,['Q32415'],[118]
407,ar,36,['Q28469'],[127]
408,ar,36 م,['Q28469'],[127]
409,ar,371,['Q48018'],[117]
410,ar,373,['Q34551'],[118]
411,ar,379,['Q37154'],[120]
412,ar,387,['Q35302'],[118]
413,ar,394,['Q48126'],[118]
414,ar,395,['Q48131'],[126]
415,ar,4 مارس,['Q2396'],[221]
416,ar,400,['Q25621'],[127]
417,ar,414,['Q32761'],[116]
418,ar,417,['Q32695'],[118]
419,ar,419,['Q32386'],[116]
420,ar,42 ق م,['Q4201'],[92]
421,ar,424,['Q31667'],[117]
422,ar,425,['Q31183'],[118]
423,ar,428,['Q30902'],[119]
424,ar,433 إروس,['Q16711'],[70]
425,ar,446,['Q31076'],[117]
426,ar,456,['Q30432'],[120]
427,ar,456 ق م,['Q25493'],[77]
428,ar,456 م,['Q30432'],[120]
429,ar,456 م.,['Q30432'],[120]
430,ar,456 ميلادي,['Q30432'],[120]
431,ar,456م,['Q30432'],[120]
432,ar,456م.,['Q30432'],[120]
433,ar,458,['Q30922'],[119]
434,ar,458 م,['Q30922'],[119]
435,ar,458 م.,['Q30922'],[119]
436,ar,458 ميلادي,['Q30922'],[119]
437,ar,458م,['Q30922'],[119]
438,ar,458م.,['Q30922'],[119]
439,ar,47 ق م,['Q4209'],[92]
440,ar,477,['Q24851'],[119]
441,ar,48 ق م,['Q41143'],[89]
442,ar,5 أكتوبر,['Q2930'],[213]
443,ar,5 شباط,['Q2319'],[220]
444,ar,5 فبراير,['Q2319'],[220]
445,ar,5 فيفري,['Q2319'],[220]
446,ar,5 يونيو,['Q2622'],[206]
447,ar,50,['Q30310'],[129]
448,ar,50 م,['Q30310'],[129]
449,ar,50 م.,['Q30310'],[129]
450,ar,50 ميلادي,['Q30310'],[129]
451,ar,503,['Q30975'],[117]
452,ar,50م,['Q30310'],[129]
453,ar,50م.,['Q30310'],[129]
454,ar,517,['Q49187'],[117]
455,ar,517 م,['Q49187'],[117]
456,ar,517 م.,['Q49187'],[117]
457,ar,517 ميلادي,['Q49187'],[117]
458,ar,517م,['Q49187'],[117]
459,ar,517م.,['Q49187'],[117]
460,ar,531,['Q32871'],[120]
461,ar,54 ق م,['Q41344'],[89]
462,ar,540,['Q30900'],[122]
463,ar,552,['Q25266'],[120]
464,ar,554,['Q32167'],[119]
465,ar,560,['Q32769'],[120]
466,ar,567,['Q32555'],[117]
467,ar,567 ق م,['Q28577'],[54]
468,ar,57,['Q30969'],[122]
469,ar,57 م,['Q30969'],[122]
470,ar,576,['Q30984'],[119]
471,ar,577,['Q32517'],[119]
472,ar,577 م,['Q32517'],[119]
473,ar,577 م.,['Q32517'],[119]
474,ar,577 ميلادي,['Q32517'],[119]
475,ar,577م,['Q32517'],[119]
476,ar,577م.,['Q32517'],[119]
477,ar,579,['Q33524'],[120]
478,ar,582,['Q32212'],[121]
479,ar,589,['Q31429'],[119]
480,ar,598,['Q31934'],[120]
481,ar,598 م,['Q31934'],[120]
482,ar,598 م.,['Q31934'],[120]
483,ar,598 ميلادي,['Q31934'],[120]
484,ar,598م,['Q31934'],[120]
485,ar,598م.,['Q31934'],[120]
486,ar,6 أكتوبر,['Q2928'],[209]
487,ar,6 اكتوبر,['Q2928'],[209]
488,ar,6 تشرين الأول,['Q2928'],[209]
489,ar,601,['Q30597'],[123]
490,ar,626,['Q31052'],[119]
491,ar,630,['Q31060'],[121]
492,ar,630 م,['Q31060'],[121]
493,ar,630 م.,['Q31060'],[121]
494,ar,630 ميلادي,['Q31060'],[121]
495,ar,630م,['Q31060'],[121]
496,ar,630م.,['Q31060'],[121]
497,ar,631,['Q31577'],[118]
498,ar,640,['Q30626'],[120]
499,ar,640 م,['Q30626'],[120]
500,ar,640 م.,['Q30626'],[120]
501,ar,640 ميلادي,['Q30626'],[120]
502,ar,640م,['Q30626'],[120]
503,ar,640م.,['Q30626'],[120]
504,ar,641,['Q31676'],[121]
505,ar,644,['Q33275'],[121]
506,ar,658,['Q30176'],[122]
507,ar,66 ق م,['Q42421'],[84]
508,ar,673,['Q31105'],[122]
509,ar,678,['Q23448'],[119]
510,ar,680,['Q23453'],[123]
511,ar,680 م,['Q23453'],[123]
512,ar,680 م.,['Q23453'],[123]
513,ar,680 ميلادي,['Q23453'],[123]
514,ar,680م,['Q23453'],[123]
515,ar,680م.,['Q23453'],[123]
516,ar,684,['Q31128'],[119]
517,ar,685,['Q33480'],[121]
518,ar,685 م,['Q33480'],[121]
519,ar,685 م.,['Q33480'],[121]
520,ar,685 ميلادي,['Q33480'],[121]
521,ar,685م,['Q33480'],[121]
522,ar,685م.,['Q33480'],[121]
523,ar,687,['Q30303'],[122]
524,ar,69,['Q30203'],[128]
525,ar,69 م,['Q30203'],[128]
526,ar,698,['Q23491'],[120]
527,ar,704,['Q23503'],[121]
528,ar,71,['Q30407'],[122]
529,ar,71 م,['Q30407'],[122]
530,ar,726,['Q23555'],[121]
531,ar,726 م,['Q23555'],[121]
532,ar,726 م.,['Q23555'],[121]
533,ar,726 ميلادي,['Q23555'],[121]
534,ar,726م,['Q23555'],[121]
535,ar,726م.,['Q23555'],[121]
536,ar,730,['Q23563'],[121]
537,ar,742,['Q23601'],[126]
538,ar,744,['Q23608'],[121]
539,ar,75,['Q30409'],[123]
540,ar,75 م,['Q30409'],[123]
541,ar,76,['Q24845'],[124]
542,ar,76 م,['Q24845'],[124]
543,ar,76 م.,['Q24845'],[124]
544,ar,76 ميلادي,['Q24845'],[124]
545,ar,762,['Q30324'],[129]
546,ar,762 م,['Q30324'],[129]
547,ar,762 م.,['Q30324'],[129]
548,ar,762 ميلادي,['Q30324'],[129]
549,ar,762م,['Q30324'],[129]
550,ar,762م.,['Q30324'],[129]
551,ar,764,['Q31163'],[122]
552,ar,76م,['Q24845'],[124]
553,ar,76م.,['Q24845'],[124]
554,ar,772,['Q30729'],[122]
555,ar,772 م,['Q30729'],[122]
